	l_code	l_name	l_name_left	exact
0	gv	Manx	Manx	True
1	gu	Gujarati	Gujarati	True
2	zea	Zealandic	Zeeuws	False
3	szl	Silesian	Silesian	True
4	sco	Scots	Scots	True
5	scn	Sicilian	Sicilian	True
6	ga	Irish	Irish	True
7	gn	Guarani	Guarani	True
8	gl	Galician	Galician	True
9	lg	Ganda	Ganda	True
10	hak	Hakka	Hakka Chinese	False
11	lb	Luxembourgish	Luxembourgish	True
12	wuu	Wu	Wu Chinese	False
13	vep	Vepsian	Veps	False
14	la	Latin	Latin	True
15	ln	Lingala	Lingala	True
16	lo	Laotian	Lao	False
17	tt	Tatar	Tatar	True
18	tr	Turkish	Turkish	True
19	ts	Tsonga	Tsonga	True
20	li	Limburgish	Limburgish	True
21	tn	Setswana	Tswana	False
22	lt	Lithuanian	Lithuanian	True
23	vec	Venetian	Venetian	True
24	th	Thai	Thai	True
25	te	Telugu	Telugu	True
26	ksh	Ripuarian	Colognian	False
27	pcd	Picard	Picard	True
28	ta	Tamil	Tamil	True
29	yi	Yiddish	Yiddish	True
30	ceb	Cebuano	Cebuano	True
31	yo	Yoruba	Yoruba	True
32	de	German	German	True
33	da	Danish	Danish	True
34	new	Nepal Bhasa	Newari	False
35	bar	Bavarian	Bavarian	True
36	vls	West Flemish	Vlaams	False
37	qu	Quechua	Quechua	True
38	gd	Scots Gaelic	Scottish Gaelic	False
39	bpy	Bishnupriya Manipuri	Bishnupriya	False
40	el	Greek	Greek	True
41	eo	Esperanto	Esperanto	True
42	en	English	English	True
43	pms	Piedmontese	Piemontese	False
44	km	Khmer	Khmer	True
45	arz	Egyptian Arabic	Egyptian Arabic	True
46	fr	French	French	True
47	et	Estonian	Estonian	True
48	eu	Basque	Basque	True
49	zu	Zulu	Zulu	True
50	tet	Tetum	Tetum	True
51	es	Spanish	Spanish	True
52	ru	Russian	Russian	True
53	si	Sinhala	Sinhala	True
54	it	Italian	Italian	True
55	rm	Romansh	Romansh	True
56	ro	Romanian	Romanian	True
57	dsb	Lower Sorbian	Lower Sorbian	True
58	bn	Bengali	Bengali	True
59	hsb	Upper Sorbian	Upper Sorbian	True
60	be	Belarusian	Belarusian	True
61	bg	Bulgarian	Bulgarian	True
62	ba	Bashkir	Bashkir	True
63	wa	Walloon	Walloon	True
64	ast	Asturian	Asturian	True
65	wo	Wolof	Wolof	True
66	jv	Javanese	Javanese	True
67	bo	Tibetan	Tibetan	True
68	bi	Bislama	Bislama	True
69	rue	Rusyn	Rusyn	True
70	br	Breton	Breton	True
71	lmo	Lombard	Lombard	True
72	lez	Lezgian	Lezghian	False
73	ja	Japanese	Japanese	True
74	om	Oromo	Oromo	True
75	glk	Gilaki	Gilaki	True
76	ace	Acehnese	Achinese	False
77	ilo	Ilokano	Iloko	False
78	oc	Occitan	Occitan	True
79	krc	Karachay-Balkar	Karachay-Balkar	True
80	nds	Low Saxon	Low German	False
81	os	Ossetic	Ossetic	True
82	or	Oriya	Oriya	True
83	xh	Xhosa	Xhosa	True
84	co	Corsican	Corsican	True
85	bjn	Banjar	Banjar	True
86	ca	Catalan	Catalan	True
87	ce	Chechen	Chechen	True
88	cy	Welsh	Welsh	True
89	sah	Sakha	Sakha	True
90	cs	Czech	Czech	True
91	cv	Chuvash	Chuvash	True
92	cu	Old Church Slavonic	Church Slavic	False
93	koi	Komi-Permyak	Komi-Permyak	True
